,bg_geoid,hc_pop_total,hc_hu_total,hc_workers_textile_apparel,hc_workers_eat_drink,hc_workers_other_retail,hc_workers_other_service,hc_workers_education,hc_workers_other_mfg,hc_workers_total,hc_families_income_below_1k,hc_families_total,hc_families_nw_income_below_1k,hc_families_nw_total,area_acres,zh_FAR,zh_USE_1,zh_USE_2,zh_USE_3,zh_USE_4,zh_USE_5,zh_USE_6,zh_USE_7,zh_USE_8,zh_USE_9,zh_USE_10,zh_USE_11,zh_USE_12,zh_USE_13,zh_USE_14,zh_USE_15,zh_USE_16,zh_USE_17,zh_USE_18,census_tract,name,oi_kid_stay_share,cbd_distance_miles
37,360050027022,4297.764405582236,1606.633671975749,179.1850961828109,77.86649857179202,141.5411753421423,84.46237689188843,20.852161494083354,260.21935295434406,1692.594883495473,47.45875404631512,1051.2747034838847,7.278482052785556,123.72158806412128,735.672983109184,2.0089586334245224,0.006399023874658661,0.006399023874658661,0.006399023874658661,1.0,1.0,1.0,0.9936009761253414,1.0,1.0,1.0,0.9936009761253414,1.0,0.9936009761253414,0.9936009761253414,0.0,0.9936009761253414,0.0,0.0,36005002702,"Bronx County, NY",0.2336,5.491435713625395
38,360050027023,4907.318128399663,1826.3041305344555,198.38214153172805,87.93333255677847,158.94041405484873,92.91495039324155,23.79698726863976,291.05983328192355,1893.7515507626795,55.11179082367653,1197.8657727464,10.201946707362339,161.54697557625437,748.2449782856047,2.657029734247038,0.46930695303359843,0.46930695303359843,0.46930695303359843,1.0,1.0,1.0,0.5306930469664015,1.0,1.0,1.0,0.5306930469664015,1.0,0.5306930469664015,0.5306930469664015,0.0,0.5306930469664015,0.0,0.0,36005002702,"Bronx County, NY",0.2336,5.499576409918948
39,360050027024,5070.958952804982,1875.4937709234896,208.03880821393906,90.77066269778186,163.55404685703104,95.93590029408807,24.49564368717112,298.7994657126059,1949.4467471412374,57.45708989442907,1239.338169610771,10.667044824586657,171.7784500046415,765.5651825045526,2.7370417485249194,0.5264583918035141,0.5264583918035141,0.5264583918035141,1.0,1.0,1.0,0.47354160819648594,1.0,1.0,1.0,0.47354160819648594,1.0,0.47354160819648594,0.47354160819648594,0.0,0.47354160819648594,0.0,0.0,36005002702,"Bronx County, NY",0.2336,5.538282770232944
40,360050028000,4450.12785690201,1598.255018564371,221.6654548389933,86.32905895939277,189.75748048496013,87.57348834245713,27.875842403571987,266.19319647442813,1796.2350551392508,52.219022585856735,1173.6326764353607,9.425889332494094,152.0764042116595,704.5056587076825,2.7546079776985968,0.6183586655650374,0.6183586655650374,0.6183586655650374,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.38164133443496256,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.38164133443496256,0.9999999999999999,0.38164133443496256,0.38164133443496256,0.0,0.38164133443496256,0.0,0.0,36005002800,"Bronx County, NY",0.3359,7.176837208483238
41,360050028001,3805.02995299259,1280.9838344733662,160.91349120904022,64.02013220726617,168.92812717416612,58.89771961985194,27.976390132047666,206.07904182547338,1456.6805286846668,42.01863574072444,1028.1489081667141,5.514942211026424,125.03698892822979,858.1125452450236,3.1413809012962255,0.8813095366094572,0.8813095366094572,0.8813095366094572,1.0,1.0,1.0,0.11869046339054268,1.0,1.0,1.0,0.11869046339054268,1.0,0.11869046339054268,0.11869046339054268,0.0,0.11869046339054268,0.0,0.0,36005002800,"Bronx County, NY",0.3359,7.629322663967522
42,360050028002,3536.678625574648,1045.8582581065284,90.36420145430623,47.13638213306676,142.52564270407174,45.564058157503325,26.166991882300692,153.0935215445945,1162.7852361506539,41.4916585313231,903.989976783828,8.710136768396477,160.4450620054236,557.877884429635,1.2140978541245215,0.0892074392185506,0.0892074392185506,0.0892074392185506,1.0,1.0,1.0,0.9107925607814494,1.0,1.0,1.0,0.9107925607814494,1.0,0.9107925607814494,0.9107925607814494,0.0,0.9107925607814494,0.0,0.0,36005002800,"Bronx County, NY",0.3359,7.84863394736924
43,360050028003,3463.324253196269,1183.6285458221873,146.75664711435073,60.25560207723278,162.30332269048003,54.404273352652034,27.48506379945015,188.2701598587216,1352.6670717674695,39.91236822797053,950.7682760723686,4.238566115373754,103.13435047512708,680.0188228411882,3.0922743516370175,0.8717809798487572,0.8717809798487572,0.8717809798487572,1.0,1.0,1.0,0.12821902015124276,1.0,1.0,1.0,0.12821902015124276,1.0,0.12821902015124276,0.12821902015124276,0.0,0.12821902015124276,0.0,0.0,36005002800,"Bronx County, NY",0.3359,7.597580626509722
44,360050028004,3566.748230845331,1105.3609220748344,108.4658228957069,52.88503158487097,152.42004387925095,49.88621156731416,26.808603340732738,166.97175294226156,1244.1418253240993,42.37273850558904,934.4052501146107,7.43542558859785,143.89118699775395,590.7166548393727,2.7448942586630003,0.7270392744429168,0.7270392744429168,0.7270392744429168,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.27296072555708306,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.27296072555708306,0.9999999999999999,0.27296072555708306,0.27296072555708306,0.0,0.27296072555708306,0.0,0.0,36005002800,"Bronx County, NY",0.3359,7.744520925713582
45,360050031001,6165.606724803474,2287.9344524114304,320.3668165007841,115.86383835669375,196.55953762008832,127.8749939020753,28.481094398961176,356.9777129888379,2401.4312617950836,78.72914265074763,1535.0602275811334,17.88460345929701,275.8409062477336,806.3321700340896,2.564953801098902,0.4035384293563587,0.4035384293563587,0.4035384293563587,1.0,1.0,1.0,0.5964615706436412,1.0,1.0,1.0,0.5964615706436412,1.0,0.5964615706436412,0.5964615706436412,0.0,0.5964615706436412,0.0,0.0,36005003100,"Bronx County, NY",0.2734,6.064377156111314
46,360050033001,5513.6832812283665,2050.8969530715694,256.0194117815205,103.60812104097762,178.0252134796182,109.45469933979506,25.928659396328094,324.22848377968876,2151.0658997713126,64.65567236147291,1370.0169201106191,10.356901978147077,175.73469743523972,757.2166421778093,2.7053271572725857,0.5038051123375614,0.5038051123375614,0.5038051123375614,1.0,1.0,1.0,0.4961948876624386,1.0,1.0,1.0,0.4961948876624386,1.0,0.4961948876624386,0.4961948876624386,0.0,0.4961948876624386,0.0,0.0,36005003300,"Bronx County, NY",0.2805,5.710193872632798
47,360050033002,5623.7166754735445,2080.1885777239486,246.4458629458235,102.52827363674405,179.83269309314295,108.70484342638956,26.905240942294252,330.8512550641041,2173.422584603515,65.46049889195938,1383.149846154923,11.363283829271806,192.77209163107642,763.9286661061885,3.0376918384628184,0.7412084560448703,0.7412084560448703,0.7412084560448703,1.0,1.0,1.0,0.25879154395512977,1.0,1.0,1.0,0.25879154395512977,1.0,0.25879154395512977,0.25879154395512977,0.0,0.25879154395512977,0.0,0.0,36005003300,"Bronx County, NY",0.2805,5.638964973630836
48,360050033003,5834.945690953563,2119.0211213218245,242.17973972030362,102.1981415183981,181.38750278123163,108.52568747015445,28.553036215586804,338.8447982472845,2203.5722298173596,68.62727608353612,1424.1074905139571,13.622123865788783,227.42984404522662,780.7539079999262,3.1702344226303465,0.8358817304502476,0.8358817304502476,0.8358817304502476,1.0,1.0,1.0,0.16411826954975248,1.0,1.0,1.0,0.16411826954975248,1.0,0.16411826954975248,0.16411826954975248,0.0,0.16411826954975248,0.0,0.0,36005003300,"Bronx County, NY",0.2805,5.607943619982796
